Name,Hanzi,Company,EP2
Akezhuli,阿克朱力,Super Boom Star,62
Andy,安迪,Super Sound,82
Bo Yuan,伯远,White Media,46
Caelan,庆怜,Avex,12
Cao Zuo,曹左,Shiny Season Entertainment,31
Chen Junjie,陈俊洁,Jiashang Media,70
Chen Ruifeng,陈瑞丰,Individual Trainee,81
Dai Shaodong,代少冬 ,SDT Entertainment,32
David,大卫 ,Individual Trainee,50
Fan Zhener,范臻尔,Qianlai Entertainment,17
Fu Sichao,付思超,Wajijiwa Entertainment,14
Gan Wangxing,甘望星,Yuxiao Media,19
Gu Liulin,谷柳霖,Super Boom Star,57
Gui Zhangqi,贵尚奇,Chengmeng Culture,60
Han Peiquan,韩佩泉,Individual Trainee,27
Hanyuda Amu,羽生田挙武 ,Revive,40
Harabe Ryo,原部凌,Individual Trainee,72
He Yifan,何屹繁 ,Shuttle Entertainment,22
He Yijun,何懿峻 ,Jaywalk Newjoy,83
He Zhenyu,何圳煜,FLOWSIXTEEN,36
Hu Yetao,胡烨韬,MISTAR,37
Huang Kun,黄鲲,FLOWSIXTEEN,49
Ichinose Asuka,一之濑飞鸟,SOUNDNOVA,24
Ikumi Hiroto,井汲大翔,RBW Japan,29
Jiang Dunhao,蒋敦豪,Hixi Media,42
Jing Long,井胧,Individual Trainee,11
Kadowaki Shingo,门胁慎刚 ,NVRMND inc.,73
Kazuma,和马,Avex,6
Kiuchi Yujin,喜内优心,King Artist,71
Lai Yaoxiang,赖耀翔,Yiling Media,90
Lelush,利路修,King Holdings,74
Li Jiahao,李家豪,Chengmeng Culture,58
Li Jiaxiang,李嘉祥,Mengyu Meiji Culture,35
Li Luoer,李洛尔 ,Orange Image,45
Li Peiyang,李沛洋,Jiashang Media,76
Li Tailong,李泰龙,Super Boom Star,66
Li Zekun,李泽坤,Chengmeng Culture,59
Li Zhengting,李政庭,STF,63
Lin Mo,林墨,Original Plan,9
Lin Yuxiu,林煜修 ,L.TAO Entertainment,38
Lindow,林豆,ESEE Model Management,52
Ling Xiao,凌箫,Individual Trainee,53
Liu Cong,刘聪,Xinhuabeyi,75
Liu Tanghui,刘唐辉,Individual Trainee,79
Liu Yandongji,刘严冬季,Shiny Season Entertainment,39
Liu Yu,刘宇,BiuBiu Culture Media,7
Liu Zhang,刘彰,W8VES,20
Lu Dinghao,陆定昊,Individual Trainee,23
Luke,卢克,OST Media,88
Luo Yan,罗言,JYP China,65
Mika,米卡,Avex,1
Nine,高卿尘,Insight Entertainment,13
Nuo Yan,诺言,eStar Gaming,30
Oscar,奥斯卡,Shiny Season Entertainment,10
Patrick,尹浩宇,Insight Entertainment,21
Qian Zhengyu,钱政宇,Jaywalk Newjoy,80
Qu Boyu,屈柏宇,Xinhuabeyi,67
Ren Yinpeng,任胤蓬,Wajijiwa Entertainment,5
Rikimaru,力丸,Avex,8
Rong Yao,荣耀,i.E.ONE Entertainment,
Santa,赞多,Avex,4
Sato Eisho,佐藤永翔,Stardust,61
Shao Mingming,邵明明,Mango TV,15
Sumita Jumpei,隅田隼平 ,RBW Japan,89
Taguchi Keiya,田口馨也 ,RBW Japan,87
Tsuzuki Yuya,都筑雄哉,Individual Trainee,68
Uehara Ichika,上原一翔,DIWON MEDIA,69
Wang Xiaochen,王孝辰,WOW Culture,56
Wang Zehao,王泽浩,Xiangxingli Culture,86
Wei Yujie,韦语节,BG Talent,84
Wei Ziyue,魏子越,M.Young,41
Wu Hai,吴海,Hippo Film,55
Wu Yuheng,吴宇恒,Pulin Culture,16
Xiao Lihuan,肖力桓,Sichuan Polar Bear Culture,78
Xie Xingyang,谢兴阳,Bad Water,51
Xu Shaolan,徐绍岚 ,Qigu Culture,64
Xu Shengzi,徐圣兹,Jaywalk Newjoy,85
Xue Bayi,薛八一,Haohan Entertainment,54
Ye Haoran,叶皓然,Chen Xiao Xi Media,34
Yi Han,怿涵,Original Plan,43
Yu Gengyin,俞更寅,Individual Trainee,25
Yu Yang,于洋,Shiny Sound Entertainment,33
Zeng Hanjiang,曾涵江,M+ Entertainment,47
Zhang Jiayuan,张嘉元,Wajijiwa Entertainment,3
Zhang Teng,张腾,Individual Trainee,28
Zhang Xingte,张星特,FLOWSIXTEEN,26
Zhang Xinyao,张欣尧,Joy Media,18
Zhang Zhang,张璋,Shiny Season Entertainment,44
Zheng Mingxin,郑明鑫 ,Jiashang Media,77
Zhou Keyu,周柯宇 ,Jaywalk Newjoy,2
